2022-06-09 15:17:07,926 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524195, 30.505951]', 'gjwd': '[114.524181, 30.505963]', 'planId': '1534796463443255297'}}
2022-06-09 15:17:27,218 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.52436, 30.505833]', 'gjwd': '[114.524356, 30.505837]', 'planId': '1534796463443255297'}}
2022-06-10 08:58:45,570 data_manager.py[line:2388] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524068, 30.506149]', 'gjwd': '[114.524059, 30.50617]', 'planId': '1535063752226873346'}}
2022-06-10 08:59:05,325 data_manager.py[line:2388] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.52417, 30.505974]', 'gjwd': '[114.52417, 30.505974]', 'planId': '1535063752226873346'}}
2022-06-10 08:59:24,540 data_manager.py[line:2388] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524356, 30.505836]', 'gjwd': '[114.524348, 30.505844]', 'planId': '1535063752226873346'}}
2022-06-10 08:59:44,850 data_manager.py[line:2388] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524456, 30.505676]', 'gjwd': '[114.524456, 30.505676]', 'planId': '1535063752226873346'}}
2022-06-10 09:06:13,217 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'capacity': '-1', 'deep': '-1', 'bottleNum': '-1', 'jwd': '[114.52406, 30.506169]', 'gjwd': '[114.52406, 30.506169]', 'planId': '1535065631413477378'}}
2022-06-10 09:06:33,662 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524184, 30.50596]', 'gjwd': '[114.524168, 30.505976]', 'planId': '1535065631413477378'}}
2022-06-10 09:06:53,642 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524358, 30.505835]', 'gjwd': '[114.52435, 30.505843]', 'planId': '1535065631413477378'}}
2022-06-10 09:07:13,382 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524457, 30.505675]', 'gjwd': '[114.524457, 30.505675]', 'planId': '1535065631413477378'}}
2022-06-10 09:07:47,763 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524457, 30.505675]', 'gjwd': '[114.524457, 30.505675]', 'planId': ''}}
2022-06-10 09:09:25,535 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.52406, 30.506169]', 'gjwd': '[114.52406, 30.506169]', 'planId': '1535066407170973698'}}
2022-06-10 09:09:46,303 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524173, 30.50597]', 'gjwd': '[114.524173, 30.50597]', 'planId': '1535066407170973698'}}
2022-06-10 09:10:06,283 data_manager.py[line:2390] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524352, 30.50584]', 'gjwd': '[114.524348, 30.505844]', 'planId': '1535066407170973698'}}
2022-06-10 09:11:23,904 data_manager.py[line:2393] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'capacity': '-1', 'deep': '-1', 'bottleNum': '-1', 'jwd': '[114.524462, 30.505679]', 'gjwd': '[114.524462, 30.505679]', 'planId': '1535066407170973698'}}
2022-06-10 09:21:44,277 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'capacity': '-1', 'deep': '-1', 'bottleNum': '-1', 'jwd': '[114.524063, 30.506159]', 'gjwd': '[114.524059, 30.50617]', 'planId': '1535069534838300674'}}
2022-06-10 09:22:03,747 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524172, 30.505972]', 'gjwd': '[114.524172, 30.505972]', 'planId': '1535069534838300674'}}
2022-06-10 09:22:24,044 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524366, 30.505826]', 'gjwd': '[114.524358, 30.505835]', 'planId': '1535069534838300674'}}
2022-06-10 09:24:55,175 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524461, 30.505679]', 'gjwd': '[114.524461, 30.505679]', 'planId': '1535069534838300674'}}
2022-06-10 09:25:53,691 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524078, 30.50613]', 'gjwd': '[114.524078, 30.50613]', 'planId': '1535070547125182465'}}
2022-06-10 09:26:13,702 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.5242, 30.505947]', 'gjwd': '[114.524185, 30.505959]', 'planId': '1535070547125182465'}}
2022-06-10 09:26:32,692 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524352, 30.505841]', 'gjwd': '[114.524348, 30.505845]', 'planId': '1535070547125182465'}}
2022-06-10 09:26:52,267 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524456, 30.505677]', 'gjwd': '[114.524456, 30.505677]', 'planId': '1535070547125182465'}}
2022-06-10 09:27:45,473 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.52406, 30.506169]', 'gjwd': '[114.52406, 30.506169]', 'planId': '1535071008964190210'}}
2022-06-10 09:28:47,710 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524064, 30.506158]', 'gjwd': '[114.524062, 30.506163]', 'planId': '1535071323520212993'}}
2022-06-10 09:29:43,722 data_manager.py[line:2394] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524168, 30.505975]', 'gjwd': '[114.524168, 30.505975]', 'planId': '1535071323520212993'}}
